Date,ABEV3.SA,AXIA3.SA,AXIA6.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BPAC11.SA,BRAP4.SA,BRKM5.SA,CMIG4.SA,COGN3.SA,CPFE3.SA,CPLE3.SA,CSAN3.SA,CSMG3.SA,CSNA3.SA,CYRE3.SA,DIRR3.SA,EGIE3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HAPV3.SA,HYPE3.SA,ISAE4.SA,ITSA4.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MBRF3.SA,MGLU3.SA,MRVE3.SA,MULT3.SA,PETR3.SA,PETR4.SA,POMO4.SA,PRIO3.SA,PSSA3.SA,RADL3.SA,RAIL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VBBR3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2018-04-27,-0.005592398755189565,0.0413633177635456,0.05461493405287262,0.008001804122757675,0.006213771116344365,0.0,0.002461349621591874,0.010882095910570405,0.005367551298541049,0.006116261211308589,0.0013293845404716807,-0.007378031750557713,0.01181127128915234,0.014302758546756455,0.035846285459154484,0.009832214794609344,0.006145726554162817,-0.0004961268831107943,0.0,-0.035323977439336074,0.018349241712410865,0.004962728186794307,-0.0015926596620958453,-0.0015025926324729517,0.0006004292427374056,0.010178239677662909,-0.02344279513632784,-0.020178688500751107,-0.01248434027492427,0.005730604130639429,0.005070003367941689,0.007888462010327647,0.0014621028811899292,-0.0019396096152823814,0.02145540065542533,0.017813763480777647,-0.002503075049657385,0.007626465838409486,0.022245529183246925,-0.0014914431897660918,0.0028587171368408067,0.0035285968014904193,0.0,-0.015341289856534986,0.003341833852235637,-0.007311435726239261,0.016854203285212165,-0.04895902906338363,0.005246706400139065,0.0033673677567368234,0.01676776386462373,0.011048056143834107,0.018001260750941755,0.002511448406974048,0.001248243492262799,0.006799243686448097,-0.026692718904538486,-0.007213045047792188,0.02634659622793462,0.007506089677184791,0.0005581105255806984,-0.052460179317969015
2018-04-30,0.006450202536278477,-0.009394575054562117,-0.022979497952463318,0.005298906951503445,-0.0207322694271312,-0.017555914196767386,-0.01955623332260717,-0.015500217101335947,-0.019460081282004774,0.0,-0.008897011027088949,0.045093028493464034,-0.007420504855495486,0.0011826373166160184,-0.01347051631786886,-0.0026729361392233775,0.00043734515939833693,-0.012987496604755488,0.007968180981327863,-0.013574694789892473,0.010850076071408754,0.004938449717090248,-0.017419915090271656,0.0,-0.00571872998861698,0.01620330039295058,-0.017088047992980297,-0.0017999356582085104,-0.017744670578354105,-0.012578697415384626,-0.004434835186800432,0.00812116908440508,-0.00586101183460403,-0.00956031220801418,0.001413770619291005,-0.00733266666885154,-0.007547235224259465,0.013301311660505131,0.0,-0.007189966909847603,0.004476216012393571,0.011383648519655686,0.01481533035553633,0.011631289419419766,0.005323853212925005,-0.010413605433847211,0.03355345835174436,-0.00750151891641852,-0.002882238533558295,0.014028338975955946,0.032268413301079935,0.019924438164855254,-0.0004696383648521451,0.0,-0.0018731478646038884,-0.024995117984795378,0.016651746848810853,0.006596707795754978,0.011829583512532821,-0.0006796017047947913,-0.008400975676817588,-0.006872835195934784
2018-05-02,-0.028697606163284727,0.04360777760321819,0.02169267490217706,-0.03750055734810257,-0.027651601792309563,-0.018702162298855646,-0.01611615700965251,-0.026082385300267335,0.0,-0.02469267472849424,-0.02625727543545268,-0.003944689124535156,0.04234616307611411,-0.02928335578134791,-0.029701618052828248,-0.007885549501161734,-0.019435006971312865,-0.0015092342545265352,-0.014993195419495094,0.014697875081881223,-0.03290980215703153,-0.028311392610671296,-0.003792123014582656,0.003752363852094247,-0.0012080249493507218,-0.0021105334891277153,-0.01271951103948427,-0.02493306851242188,-0.011575770959363029,-0.012372781616009229,-0.016000174884148573,-0.02020257733647818,-0.061359815947670246,-0.04604824086438089,-0.006142180685058592,-0.014517848185710235,-0.015267532674184828,-0.04025193195499241,-0.008032047142533076,-0.03394286082334999,-0.0024389817216620875,-0.016238966628453564,-0.002454008162952234,-0.08097241040729293,0.053205350760300925,-0.04125844201936021,-0.004048608553977102,-0.03317234433481867,-0.03226533026637848,-0.01894977882564575,-0.05492711856371086,0.03329250316835089,-0.0028223676167004608,-0.029910477541112892,-0.02692189320507215,-0.005474011774377804,-0.006442697218519523,0.0008214998351573845,0.006078957584532475,0.005427207679042181,0.012852273006628275,-0.028296389388319635
2018-05-03,-0.0030927584207683214,-0.016194615040079255,-0.034937826713429536,-0.059131455217723394,-0.018454151114526855,-0.02872639812834232,-0.011953165534895656,-0.0207420043174443,-0.0014567159433366424,-0.034332732113127096,-0.02273383264801596,0.00787387879728045,-0.026204336338851945,-0.010403803080906656,-0.026072429881857984,-0.02574524227847268,0.0017826231839761847,-0.029472578021546132,-0.01379008848849475,-0.037740591495428744,-0.011215133666851316,-0.006780074176591067,-0.004623972017963868,-0.010542291998801044,-0.011856089175521892,-0.020633858999841614,-0.0077879443774779705,0.015276812967346213,-0.006489165865572715,0.006569238273077358,-0.01200739619135969,0.005238274349163399,-0.027724097451678097,-0.01990969232918372,-0.0021784632922350077,0.003417086605434125,-0.027291996194166057,-0.053092075976795966,-0.032095838231231966,-0.01725542847966221,-0.010638716078713188,-0.006659411477091441,-0.004925903060327976,-0.03323776659262402,-0.022058274812033388,-0.009438382126234405,-0.005423746153080305,-0.014937018472944607,-0.02025761414250845,-0.014598719458811641,0.047241312093051144,-0.03915490251785515,-0.010528820892407555,-0.005180782372624117,-0.0003210792844900875,-0.10717335712299789,-0.022410053559180743,0.007771068765809593,-0.03211195827213778,-0.0393288655667324,-0.02302828465539162,-0.000322512417361213
2018-05-04,-0.00443440727116248,0.02568755352335104,0.028911216322236203,-0.023134801045346966,-0.004979549886003726,-0.0020023126673788414,-0.0035537446561504068,0.0009092271537027358,-0.01394520004094067,0.0012928004340352216,-0.0051753266315453595,0.014184726476795686,0.02711937363943973,0.030890896014373975,0.002261568053753077,-0.016814303547294147,0.015024300686358608,-0.01884799535295973,0.01760974059171294,0.013889301422420047,-0.0007520022575035132,-0.005114918517039622,-0.00958758077828267,0.058083208193290166,-0.015408407971613473,-0.012151254625359655,0.038724435292288514,0.02100286472285094,0.01550433973808547,-0.02728763608930075,-0.004252952760377021,0.024623636491323833,-0.016195259949491586,-0.011798949562568785,0.0028648645280206454,0.05284244327695577,0.04759731004424552,0.005130815873109248,-0.02886500481147666,-0.009539142094543712,-0.01742758676022733,-0.008050017711764723,0.012269871922778333,0.0899648288804139,-0.032918523986120406,-0.037081429256453156,-0.021993960066662675,-0.001882822059695418,0.00413923688035765,-0.004421492011948484,-0.024189897320321316,-0.02404977470791703,-0.017178500349360366,0.0064720233912029706,0.0003210792844900614,-0.0001850982500085745,0.03616529960554508,0.012349442890519665,-0.02260489099342344,-0.0018784536203991238,-0.022989177241106506,0.006430955274403302
2018-05-07,-0.007136557339898112,-0.09595685330597555,-0.08418907962046061,-0.029143896118863807,-0.002498903516737358,-0.0011459273499574041,-0.012706214257655888,-0.009132167372416223,-0.02658834096835587,0.026770283220592588,0.0,-0.05156948984646894,-0.005273438964018223,-0.0025382820291139623,-0.003016532696127251,0.007364269930034845,-0.02982618415140893,-0.006818570470829176,0.006400068013133618,-0.026792486657097547,0.011223407296658614,0.058107823709685154,-0.00579728706533472,-0.029723090224252614,0.015408407971613327,-0.004960681824849089,-0.012107556373640135,-0.0289178661643335,-0.03390201882325645,0.009302398072453233,-0.004600892698039594,0.0034892139284898086,0.0016314498793705637,0.0014816419501987115,-0.00862054688141862,-0.003535658849300798,-0.02932013713032631,-0.00873824898370343,0.03990749560569116,-0.008663444485322053,0.03496141650735836,0.01691946766367906,-0.032220941411682816,0.019553665578864447,0.010362685664351095,-0.026376563818553186,0.015856883818666918,-0.024419423649260356,-0.008574012030618064,-0.04285508573889473,-0.0072992701767164055,-0.010595330045162906,0.015230191117532177,-0.0006450565506246563,-0.04028693901307154,-0.01869216134700731,-0.02023983354722951,-0.009298579322360117,-0.0032058185066299156,-0.01515548650142618,-0.016412899691226782,-0.03988764914856457
2018-05-08,0.0044662757518841596,0.002186856432897841,-0.0009398889963615662,-0.025289976201083083,-0.0037601835531182745,0.026864714410862592,0.0026194486876561776,-0.005212757245405232,0.02065794194855598,-0.019048145669037196,-0.004727943102008044,-0.0571413049425883,0.003213294274377903,-0.005095509238655919,0.008273952214348184,-0.010848757429260445,-0.01136117044735495,0.011158003378050462,0.001153035629729229,0.0,7.226023632701245e-05,-0.00323154276814575,-0.004995928557274763,0.0014705520465967408,-0.012307674308013272,-0.0021964447338763743,0.008716930055912505,-0.0018355235302304203,-0.010666695358354019,0.0,-0.006941017853684795,-0.00713733659702252,0.002441995861575955,0.0031698669622709195,0.0,-0.00800152401277919,-0.009096830156943327,0.1362767417990011,0.00888264630387093,-0.01395451139809445,0.0,0.01141355073158658,0.13636124132660551,-0.031614770979503784,0.02405568764788185,0.015524032685994404,0.005456974719554678,0.017231881484257004,-0.010611597534608717,0.010734602886113158,0.05117113404346253,0.013852307078575427,-0.010291528405746915,0.0229747491168602,0.018215358917368616,-0.008527086529158507,0.008329581619072508,-0.0010159944923812127,-0.039293937551229514,0.011623761123563487,-0.0035525522670557456,0.026659480306655863
2018-05-09,-0.023901835514613202,0.01839902898622046,0.02185626814067718,0.020678845497085242,0.007091069564579278,0.041268000230439195,0.0013069511346687878,0.007961332054958612,0.005560713505945745,0.007662962806906157,0.006613102179311077,0.0030741697297028843,0.013429114147201163,-0.005121539632554227,-0.03817264635052017,-0.010967210551346281,0.0009136150151641722,0.025385589420668556,-0.0020856111118929682,0.02679248665709747,0.005403188166576639,0.016051958705816095,0.0011125177375517312,-0.019288378016833144,-0.004654893658839119,-0.004701573861470066,0.018692176218393974,0.06116517323072,0.06235803648345981,-0.0037105815485242283,-0.006989446341972243,-0.014428565019241404,0.00243614641620576,0.0031595241248542124,0.013378179583564643,-0.020439282217318548,0.06445702547221102,0.01466793441078052,0.01351377593685982,0.008136187969776387,0.09553032165531004,0.07846337670077203,-0.06117441496131298,0.04125015015282809,0.032651548788760434,0.014021974567126762,0.0,0.019177083600984357,0.0019632527355993826,-0.0018320478667107015,0.02066671239105171,0.06932625061774814,-0.00990130076294176,-0.06382384166545353,0.0009842995220719025,-0.008407953110207636,0.020976376633291716,0.02132022828750603,0.01609101358162611,0.009623596978087432,0.004733849747480633,0.009052696994843772
2018-05-10,-0.0050332631448685135,0.0321840247281865,0.03569384957844554,0.031198853004318846,0.025442535669387742,-0.03736967356685039,0.024517731482604548,0.019928198539580933,0.02554897823766484,-0.053572762423524385,0.005165493665772347,0.03468897680731663,0.044874342592417044,0.017812056637262503,0.023077973891948614,0.019655637914982427,0.01989191831352213,-0.007947193955916056,0.01512472785832197,0.03278984046028502,0.022079475022709537,-0.020917409813468964,0.03280783272724386,0.039652768062743454,0.0015541599952390035,0.0014716750274941695,0.005908523889500463,0.027834786986133734,0.022416813536968647,0.011090501559825015,0.009639010541533365,0.025187802082011653,0.032711163313705945,0.026972391310984983,0.00991705015944117,0.005149192008854157,-0.01231553803525731,-0.028183417086146984,0.017958650360199595,0.03613090154493868,0.05781179153751813,0.03839775741742546,-0.014117934221573135,-0.048988822601212685,0.021528721007478133,0.0643407743631445,-0.007511042044632153,0.0033464538501340626,0.03874608496203707,-0.06274700567553794,0.035718085503143655,-0.019559836425682684,0.02408586846132488,-0.017639522251518144,0.03543027636940445,0.026324693236878357,0.004502587841008039,0.022627604926935767,0.0009385244730326897,-0.0007011684437422704,0.04670769241440474,-0.002255483427338262
2018-05-11,0.002290976720692481,-0.018868286008564477,-0.034774364320629865,0.0006396040503801402,-0.044746984264284424,-0.004736097018377411,-0.02190861589064473,-0.018100601639731005,0.007181186165747369,-0.034132861867741456,-0.005165493665772241,0.005617154099135333,-0.02074985534136736,-0.0025252653251603774,-0.16498229058755798,-0.02053822493257141,-0.010800842649274781,0.038862730573719,-0.01972841737548502,0.03174871484954319,-0.0557420190020678,0.01932402584600074,-0.006746491020365097,0.0007196312092674637,-0.00936049071092142,-0.043582941527878526,-0.022715303983721794,-0.00561808157870012,-0.014888471934689201,0.014598999291929633,-0.017014355087650652,-0.00507434173735992,-0.015822707072012745,-0.01609638807914856,-0.0047095318238610006,-0.03317251375244515,-0.02255733787877926,-0.007792979824865666,-0.013271562307027406,-0.026131972338971566,0.00380640383292041,-0.012111673859160711,0.028039442456053984,-0.03231039939503015,-0.016360172404887248,0.03211951605337515,-0.003432918982178345,-0.03590049287116859,-0.016030250341876825,-0.062090329926616165,-0.01859297680764904,0.02537720463377277,-0.009270703830020852,-0.03269813928007466,-0.03444746317499878,0.009672970232744636,-0.009932283406921339,0.02364813166948353,-0.005644324224350624,-0.0014033592893776482,0.002251477322495913,-0.1042856622724227
