,ABEV3.SA,AXIA3.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBSE3.SA,BEEF3.SA,BPAC11.SA,BRKM5.SA,CMIG4.SA,COGN3.SA,CPFE3.SA,CPLE3.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DIRR3.SA,EGIE3.SA,ENGI11.SA,EQTL3.SA,FLRY3.SA,GGBR4.SA,HAPV3.SA,HYPE3.SA,ISAE4.SA,ITSA4.SA,KLBN11.SA,LREN3.SA,MBRF3.SA,MGLU3.SA,MRVE3.SA,MULT3.SA,PETR4.SA,POMO4.SA,PRIO3.SA,PSSA3.SA,RADL3.SA,RAIL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VBBR3.SA,WEGE3.SA,YDUQ3.SA
2018-01-03,0.0023055232339097,-0.0127727982748683,0.0301956157689908,0.0170231802115248,0.0127541890320206,0.0006970039104987,-0.0073462756154374,0.0095239401545865,-0.0084358083909594,-0.0086208987875175,0.0087239496552253,-0.0123520800437049,-0.0053373439302584,0.0,0.0368664991868812,0.0045046006077875,-0.0291097015132653,-0.0067190517801963,0.0,0.0019782464779032,-0.0195704940426995,-0.0015418973769414,0.0,-0.0155773372592661,-0.020329400736721,0.0117859004970133,-0.0126373916440539,0.0127300523152584,-0.0109588766206825,-0.0126104192824125,0.0145404518729415,0.0040141048080206,0.0090636087044932,0.0279187389417172,0.0181392736828853,0.0181319542053033,-0.0247650355740417,-0.0300229729760236,0.0136204402247444,-0.0082489582783461,-0.0179189884244491,0.0086800024206297,-0.0074509178726847,0.0013979794802156,0.000757256815371,0.0212267646348403,-0.0098739870723519,0.0333331346935172,-0.0059921878073849,0.0,-0.0151882142201493,0.0008857589130391
2018-01-04,-0.0055198705664133,-0.0064689576435981,0.0315517828467049,0.0064379705957451,0.0095950617097093,0.0020892701370822,-0.0037002071210989,0.003668766443849,0.0151758896987252,-0.0115941924337005,0.0135135203816492,-0.007295434694166,-0.0043903240083468,-0.0023500444854857,0.0311111807988939,0.0082212252739193,0.0105824318750997,-0.0129650932082434,-0.015967580238549,-0.0112678471819663,-0.0200071785629074,0.0540537861258729,0.0,0.0073466815058995,-0.0274159035694262,0.0188177587165143,0.0016696234400301,0.0055864614967768,0.0,0.0240101697945698,-0.0065145396655126,-0.0011028736913804,0.0017967219682748,0.0296297014747468,0.0345976729753267,0.0008096205503298,0.0077091265871513,0.0015871220964458,0.0143042993491864,0.0120143022097609,-0.0194231060403038,-0.0039439855025812,0.0026811881131574,-0.0158212731638762,-0.0045420139877212,-0.0061704734954022,0.011678383013449,0.0564517628165701,0.0040993078649012,0.0,-0.0097401646808985,-0.0041298355625176
2018-01-05,0.003700380684896,-0.0092242466348506,-0.0335952765162668,0.0144987159081404,0.0,0.0066017065477232,0.0111420778940751,0.0165334998682853,0.0242354197090948,0.0014663656389417,-0.0021333594763998,-0.0162729176360536,0.0146989464988673,0.0103650927957146,0.0226292100006475,0.0155671280019287,0.0017449960832507,0.0051397287590746,0.0147170932786042,0.0098463262650678,0.0144315849580591,-0.0124539896747378,0.0,0.0092567910965231,0.0160409498111897,0.0017586455328966,-0.0094445691925609,-0.006111022842777,0.0083104980352344,-0.0197056473377361,0.0144260362692589,0.0073143395194847,0.0059772474211734,-0.0119903326219595,0.0563270861837097,0.0194124027370492,0.0175494989316857,-0.0015846071314532,-0.0145297970338934,0.010654819178238,0.0114043413867241,0.0187183628739806,-0.0026740185663629,0.0047280592423688,0.0083650996738553,0.0215684091536361,0.0020753559045856,-0.0429390133083328,0.0156100421767897,0.0,0.004098206013313,-0.0136255047469633
2018-01-08,-0.0018433070331331,0.0065720472972423,-0.0122795095081886,0.0046237851527668,0.0023760664979062,0.0058679728029009,-0.0339760993665274,0.0122535875561498,0.001769231880627,0.0029282750127475,-0.0443613149598899,0.0160085371017941,0.0082084860390947,-0.008626609079704,0.0484720248121055,0.0051095403807097,-0.0052267787663855,0.0056819274676169,-0.0163626566889032,0.0131017041197829,-0.0260232852354055,0.0348665136921848,0.0,-0.0102836744648409,-0.0052111903780024,-0.0008780049757003,0.0179473871068476,-0.0050310235760381,-0.0178572269537523,0.0001273816742803,-0.0200385004052217,-0.0124673049729007,0.0118836800278028,-0.0194173527127997,0.0757256110796569,-0.0050255644244285,-0.0127139711015755,0.0126984213608529,-0.0047702369507822,0.0193570568774308,0.020474836275824,-0.0053003989101952,0.0241289083358478,-0.0047058098944047,-0.0135748391253138,-0.000639795070932,0.0069893062643722,0.0109672756556953,0.0222274226349361,0.0,0.0081634334697091,0.0036036087489161
2018-01-09,-0.0027701600175812,-0.0397172758760125,-0.0063035268997958,-0.0142258116046808,-0.0094815399645601,-0.0034316947646629,-0.001901104298426,-0.0068420056349156,0.0022075508267553,-0.0204378343312913,0.0123042046048609,0.0031512925311261,-0.0105362711468929,-0.0275164775459074,0.0271358693790133,-0.0043573906229978,0.0070055334435916,0.0,0.0120979694163956,0.0,-0.0288566704233134,0.0057347190385772,0.0,0.00533590856884,0.0064714452498337,-0.0158171864408159,-0.0110194918025237,0.0058994033386658,-0.0125876238372582,-0.0240428477223823,0.0059365752072391,0.0029135569455549,0.0,-0.0049505270333728,-0.1060812441214558,0.0069113798392195,-0.0139979119233264,-0.0321317524288713,-0.0082789737410345,-0.0070813142433332,-0.0136666987035407,0.0003554238025107,0.0104709110122429,-0.0184396914869723,0.0015294342661433,0.0003204573846964,-0.0038559815476754,0.0108481193074052,-0.0037008517132164,0.0,0.0161943095739771,-0.0170558072392389
2018-01-10,0.0,-0.0402264337483118,0.0008809139317886,-0.008913182767655,-0.0041877447101871,-0.0041321437095097,0.0,-0.0068892667361255,-0.0107930397352877,0.0149029682182983,0.0193368980068109,0.0471203348744915,0.0125846740562267,-0.0193470575911123,0.0029352081388998,-0.021152494145187,0.0052173861455377,-0.003672284452718,-0.0317521719516437,-0.0076692280065352,0.0326488653946273,-0.0135423472859725,0.0,-0.0039107778419119,-0.0048988150385369,0.0,-0.0194984442246647,-0.0268084968063839,-0.0014162339346515,0.0101667200856914,0.0019673269206457,-0.0052568925675861,-0.0135059153096656,0.002487546197516,-0.013452924753691,0.0216473888300157,-0.0305509774652673,-0.002429202836963,-0.0021969379624638,-0.0018603325938948,-0.0200472694767843,0.0245027767878254,0.0056996113723652,-0.0134874791871681,-0.023664458655958,-0.0025600997227039,-0.0077420272379371,0.0,-0.0139310887209952,0.0,-0.0079682904803759,0.0009134104553802
2018-01-11,0.0115740841899365,0.0153480773438485,0.0123239258808658,0.0162740768105547,0.0228296436425681,0.0058782599534938,0.0,-0.0021346349836128,0.0289467064040229,0.0205580436419559,-0.0363142102232598,0.0324999999999999,-0.0023901323668705,0.0101110272108229,0.058536689499979,0.0394933782108324,0.0017299013615965,-0.0099232474984948,0.0100313202101331,0.0059100650237906,-0.0202491089987514,0.0816476248323476,0.0,0.0042065908690505,-0.0143079631386942,0.0160713906226577,-0.0056818347248204,0.0043044781603052,0.0014182424978044,0.0018065117005676,0.0157065701268219,0.0125154943975318,0.0267856545061897,0.0099255587900233,0.0975609417092655,0.0204132413803879,0.0139410674715527,0.021103974984963,0.021576478248571,0.0149115188798305,0.0132370386925915,0.0013865377525985,-0.0036063452287318,-0.0073242666588632,0.0039097570533568,-0.0012834878334524,0.0039011813637994,0.0536582058205534,0.0195431188541896,0.0,0.0192775059198084,0.0307175638275458
2018-01-12,-0.0114416574829563,-0.022674521675265,-0.0156521028785298,-0.0050570146904947,0.00234954926417,0.0020626965143202,-0.0190476067233241,0.002673875047275,0.0090889553911415,-0.0100718425069254,-0.0433071233090958,-0.0227602015464235,-0.0081457476615932,0.0180662845611876,-0.0313363558970498,0.0071684988999436,-0.0310882990802177,0.0051544465542578,0.0030554039465391,0.0079843982822858,-0.0061637020005351,0.0,0.0,0.0192679847024275,0.0159202009503147,0.0026361035276327,-0.0137140696545164,0.0085715037961773,-0.025495632211817,-0.0010303511642205,-0.0019328420491138,-0.0045322706009689,0.0028986379104734,-0.0147419201997134,-0.0313131508660565,0.0298807585606808,-0.0005776145815934,0.003974595896792,-0.0181030514019873,-0.0048975777723433,0.0059383635894221,-0.003115225045042,-0.0036192832935627,0.0,0.0031148746987197,-0.001606014409948,0.0022020409232395,0.0203704766038295,0.0057736199557365,0.0,0.0074858739416558,-0.0262613861574197
2018-01-15,0.0101851566295507,0.013087612395036,0.0342755200238673,0.0029646321595171,0.0049808577863958,-0.0013723471969573,0.0,0.0133333434422966,0.0233755388680145,-0.0043605708418759,-0.0041152425449706,0.0406342724958928,-0.0024153422074009,-0.0004795893668563,0.0256899214233945,0.0241992449099435,0.0267382011743912,0.0054128995913513,-0.0022845166525378,0.0162903836890522,0.0164175428342383,-0.0100201922055049,0.0,-0.0046572224949548,0.0062986635346511,0.012270299751854,-0.0005793109002207,0.0254954229859998,-0.0058139383438265,0.0172769742112999,0.003227873226528,0.014072801346205,0.0028903649607479,0.012468617877041,-0.0093847878821796,0.0243424628317365,0.0016184870444837,0.0063340495354826,0.0316063316949428,-0.001845655985046,0.0005902312119006,0.010416356466562,0.0103786513292023,0.0108218209058652,0.0240683045294853,-0.0012871025957299,0.0028434261676126,0.0254084984014619,-0.0018369558929899,0.0,0.0066484674998572,-0.0087878739516114
2018-01-16,0.0036664015245784,0.0111567666434051,0.0112744198481382,0.0067566805990277,0.0087466639196385,0.0178633425108303,-0.0019417702771173,-0.0078945931096608,0.0324811771929398,0.0029194828058423,-0.0106255222201894,-0.0123810535926863,0.0024211902103079,-0.0220730159222426,-0.0278295032006025,-0.0076440882476768,0.0902778075740957,0.0045339497318614,0.0110686480753803,-0.0111763591749559,-0.005743188958302,-0.0242918705047003,0.0,0.0008252881312009,0.0227483246144057,0.0129867381261967,0.0017390329202005,0.0033149827592136,-0.019005940552553,-0.002534833590546,-0.0025740938128983,-0.0299317503470274,0.0172908496178443,-0.0073890523453162,-0.0531578485641366,0.0292847644995928,-0.0162743389482684,0.0070811137309465,0.0191492002005726,-0.001849169716637,0.0050147294393152,0.0034364998768927,-0.0015407321298321,-0.0058397525830231,-0.0348744700789167,0.0154638091142575,0.0020621791048081,-0.0300884686937417,-0.0269150376147548,0.0,0.0120432787743398,-0.0064198972387077
