Date,ABEV3.SA,ALOS3.SA,ASAI3.SA,AURE3.SA,AXIA3.SA,AXIA6.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BPAC11.SA,BRAP4.SA,BRAV3.SA,BRKM5.SA,CEAB3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE3.SA,CSAN3.SA,CSMG3.SA,CSNA3.SA,CURY3.SA,CXSE3.SA,CYRE3.SA,DIRR3.SA,EGIE3.SA,EMBJ3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,ISAE4.SA,ITSA4.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MBRF3.SA,MGLU3.SA,MOTV3.SA,MRVE3.SA,MULT3.SA,NATU3.SA,PETR3.SA,PETR4.SA,POMO4.SA,PRIO3.SA,PSSA3.SA,RADL3.SA,RAIL3.SA,RDOR3.SA,RECV3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMFT3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VBBR3.SA,VIVA3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2018-01-02,15.339714050292969,,,,13.986598014831543,10.239778518676758,43.80250549316406,5.648288249969482,9.456817626953125,11.13840103149414,12.179819107055664,13.36778736114502,8.407752990722656,3.6676483154296875,4.202160358428955,,33.291175842285156,,1.4987550973892212,,14.881514549255371,12.09742546081543,1.2304767370224,8.852771759033203,6.886004447937012,5.2206926345825195,,,8.135425567626953,1.0000085830688477,11.773575782775879,,3.5250000953674316,17.459716796875,10.877667427062988,18.720977783203125,6.503601551055908,2.4707412719726562,,26.423500061035156,,4.167205333709717,4.0880255699157715,15.464812278747559,10.838817596435547,20.852951049804688,4.467325687408447,20.938087463378906,,10.739914894104004,18.78408432006836,31.883647918701172,4.881357192993164,4.349907398223877,1.817455530166626,1.7062594890594482,11.481571197509766,15.508379936218262,12.25086498260498,,,17.90805435180664,18.283037185668945,5.380980014801025,3.451245069503784,,16.15133285522461,9.288569450378418,7.978172779083252,9.073101043701172,13.412884712219238,7.521603107452393,21.669315338134766,,,,11.633074760437012,8.202622413635254,26.494810104370117
2018-01-03,15.375076293945312,,,,13.807950019836426,10.07568073272705,45.12512969970703,5.744441032409668,9.577430725097656,11.18578815460205,12.23581600189209,13.37710189819336,8.345988273620605,3.7025794982910156,4.241883277893066,,33.01034164428711,,1.4858345985412598,,15.01133918762207,11.947998046875,1.2239092588424683,8.852771759033203,6.722687721252441,5.41316032409668,,,8.172073364257812,0.9708988070487976,11.694470405578613,,3.5350000858306885,17.459716796875,10.899184226989746,18.35460090637207,6.493570804595947,2.462573766708374,,26.01189613342285,,4.082489013671875,4.136207580566406,15.570551872253418,10.701841354370117,21.118404388427734,4.418369293212891,20.674053192138672,,10.896080017089844,18.85948944091797,31.626996994018555,4.943325519561768,4.389333724975586,1.868196964263916,1.7372097969055176,11.689749717712402,15.124314308166504,11.883057594299316,,,18.151968002319336,18.132213592529297,5.284557819366455,3.4812021255493164,,16.030986785888672,9.301557540893555,7.984215259552002,9.26569938659668,13.280448913574219,7.772322177886963,21.539466857910156,,,,11.29588508605957,8.078041076660156,26.518281936645508
2018-01-04,15.29020881652832,,,,13.718626022338867,10.221024513244629,46.548919677734375,5.781421184539795,9.669330596923828,11.389472007751465,12.436568260192871,13.405049324035645,8.315104484558105,3.716163158416748,4.362472057342529,,33.51130294799805,,1.4686076641082764,,15.214194297790527,11.860830307006836,1.2185362577438354,8.831966400146484,6.619046211242676,5.581570148468018,,,8.239256858825684,0.981173038482666,11.542850494384766,,3.507499933242798,17.18093490600586,10.776376724243164,17.987382888793945,6.844576358795166,2.5524191856384277,,26.2029972076416,,3.9705638885498047,4.214039325714111,15.894795417785645,10.719710350036621,21.236387252807617,4.418369293212891,21.170438766479492,,10.825096130371094,18.83869171142578,32.574623107910156,4.985576152801514,4.397218227386475,1.9235508441925049,1.7973132133483887,11.699216842651367,15.240909576416016,11.9019193649292,,,18.411624908447266,18.350072860717773,5.181915283203125,3.4674720764160156,,16.073970794677734,9.154391288757324,7.947949409484863,9.20851993560791,13.435540199279785,8.211081504821777,21.62775993347168,,,,11.419517517089844,7.999360084533691,26.40876579284668
2018-01-05,15.346787452697754,,,,13.592083930969238,9.963156700134277,44.98508834838867,5.865246295928955,9.669330596923828,11.392932891845703,12.5070161819458,13.493546485900879,8.407752990722656,3.777604818344116,4.4674553871154785,,34.323463439941406,,1.4707609415054321,,15.181739807128906,11.667819023132324,1.2364472150802612,8.923511505126953,6.6724371910095215,5.707876682281494,,,8.367517471313477,0.9828851222991943,11.602179527282715,,3.5250000953674316,17.433788299560547,10.882484436035156,18.246963500976562,6.759332180023193,2.56058669090271,,26.445556640625,,4.034255504608154,4.221451282501221,15.940607070922852,10.618465423583984,21.10660171508789,4.455087184906006,20.75326156616211,,10.981261253356934,18.976486206054688,32.574623107910156,5.025008201599121,4.423501968383789,1.900486946105957,1.8985506296157837,11.92632007598877,15.508379936218262,11.883057594299316,,,18.144105911254883,18.545576095581055,5.2410125732421875,3.5323774814605713,,16.030986785888672,9.197673797607422,8.014436721801758,9.407136917114258,13.463424682617188,7.858506202697754,21.965368270874023,,,,11.447617530822754,8.032146453857422,26.048931121826172
2018-01-08,15.318496704101562,,,,13.68140697479248,9.986598014831543,44.43269729614258,5.892366886138916,9.692306518554688,11.392932891845703,12.50349235534668,13.572728157043457,8.122091293334961,3.823892831802368,4.545483112335205,,34.384185791015625,,1.4750679731369019,,14.508258819580078,11.854604721069336,1.2465966939926147,8.84653091430664,6.713265895843506,5.984550476074219,,,8.410272598266602,0.977747917175293,11.668102264404297,,3.452500104904175,17.14851951599121,11.025063514709473,17.772111892700195,6.995008945465088,2.5932579040527344,,26.173595428466797,,4.0132317543029785,4.21774435043335,15.887743949890137,10.809040069580078,21.000423431396484,4.3755316734313965,20.755903244018555,,10.761210441589355,18.73989486694336,32.18965148925781,5.103878021240234,4.47606897354126,1.863584280014038,2.0423195362091064,11.8663911819458,15.311206817626953,12.033952713012695,,,18.057546615600586,18.904573440551758,5.348320960998535,3.5136547088623047,,16.41779899597168,9.154391288757324,7.905645370483398,9.401118278503418,13.557525634765625,7.944692134857178,22.45359992980957,,,,11.56844425201416,8.097712516784668,26.14280128479004
2018-01-09,15.276063919067383,,,,13.138021469116211,9.564629554748535,44.152610778808594,5.808542251586914,9.600407600402832,11.306619644165039,12.387266159057617,13.52614974975586,8.106650352478027,3.797729730606079,4.494410514831543,,34.4600944519043,,1.4449206590652466,,14.686771392822266,11.891962051391602,1.2334619760513306,8.603105545043945,6.695993423461914,6.146944046020508,,,8.373625755310059,0.9845978021621704,11.668102264404297,,3.4749999046325684,17.355985641479492,11.025063514709473,17.259273529052734,7.035121917724609,2.5891733169555664,,26.313247680664062,,4.039203643798828,4.151033878326416,15.715056419372559,10.689929962158203,21.12430191040039,4.3204545974731445,20.25687026977539,,10.825096130371094,18.79449462890625,31.883647918701172,5.103878021240234,4.47606897354126,1.8543591499328613,1.8256677389144897,11.948404312133789,15.096884727478027,11.647281646728516,,,17.90805435180664,18.770700454711914,5.275227069854736,3.5149033069610596,,16.589710235595703,8.985586166381836,7.917730808258057,9.404128074645996,13.50524616241455,8.030877113342285,22.370500564575195,,,,11.537537574768066,8.228854179382324,25.696914672851562
2018-01-10,15.276063919067383,,,,12.609524726867676,9.170792579650879,44.19150924682617,5.756765842437744,9.560205459594727,11.234123229980469,12.256946563720703,13.470257759094238,8.106650352478027,3.7715671062469482,4.447593688964844,,34.088165283203125,,1.466454267501831,,14.970769882202148,12.452316284179688,1.248984456062317,8.436659812927246,6.700704097747803,6.164987564086914,,,8.196503639221191,0.9897348880767822,11.62525463104248,,3.4000000953674316,16.804899215698242,10.940509796142578,17.822763442993164,6.939847946166992,2.597341537475586,,26.21034812927246,,4.019414901733398,4.151033878326416,15.66218090057373,10.48149299621582,20.557992935180664,4.314335346221924,20.462820053100586,,10.846390724182129,18.695693969726562,32.12055587768555,5.008110046386719,4.415616512298584,1.8589717149734497,1.8011071681976318,12.207053184509277,14.635663986206055,11.618988037109375,,,17.86871337890625,18.735776901245117,5.169474124908447,3.6010282039642334,,16.68426513671875,8.86439323425293,7.730367183685303,9.380053520202637,13.400690078735352,8.030877113342285,22.05885887145996,,,,11.39141845703125,8.163283348083496,25.720388412475586
2018-01-11,15.452872276306152,,,,12.803059577941895,9.400529861450195,44.73612594604492,5.850454330444336,9.778458595275879,11.392932891845703,12.50349235534668,13.54943561553955,8.106650352478027,3.763516664505005,4.58236837387085,,35.07490921020508,,1.4966020584106445,,14.42711353302002,12.857014656066895,1.2459993362426758,8.521964073181152,6.782362461090088,6.5258660316467285,,,8.520209312438965,0.9914469718933105,11.509888648986816,,3.450000047683716,16.97347068786621,11.005167007446289,17.461872100830078,7.506470680236816,2.72802472114563,,26.320594787597656,,3.9619064331054688,4.21774435043335,15.989952087402344,10.421937942504883,20.646474838256836,4.3204545974731445,20.499788284301758,,11.016753196716309,18.929685592651367,32.031715393066406,5.132043838500977,4.533891201019287,1.87742280960083,1.9768248796463013,12.456242561340332,14.83969497680664,11.864194869995117,,,18.254255294799805,19.01515769958496,5.23790168762207,3.6060221195220947,,16.62409782409668,8.799468994140625,7.760585784912109,9.368016242980957,13.452969551086426,8.461800575256348,22.489959716796875,,,,11.849435806274414,8.32064437866211,26.510459899902344
2018-01-12,15.276063919067383,,,,12.51275634765625,9.269251823425293,44.035911560058594,5.820869445800781,9.801432609558105,11.392932891845703,12.50349235534668,13.577386856079102,7.952238082885742,3.7735788822174072,4.613580226898193,,35.39370346069336,,1.4815285205841064,,13.802319526672363,12.564385414123535,1.2358499765396118,8.675924301147461,6.752524375915527,6.321369171142578,,,8.581286430358887,0.9606245160102844,11.569217681884766,,3.4725000858306885,17.025333404541016,11.093036651611328,17.354246139526367,7.506470680236816,2.7974510192871094,,26.827747344970703,,4.0249810218811035,4.228864669799805,15.975862503051758,10.279008865356445,20.823450088500977,4.210302829742432,20.47866439819336,,10.995457649230957,18.843887329101562,32.60423278808594,5.171477794647217,4.547033309936523,1.849745750427246,1.9149242639541626,12.828445434570312,14.831122398376465,11.91135025024414,,,17.92378807067871,18.922025680541992,5.269006729125977,3.59478759765625,,16.563928604125977,8.799468994140625,7.784758567810059,9.352968215942383,13.482592582702637,8.634172439575195,22.619813919067383,,,,11.742655754089355,8.382940292358398,25.81425666809082
2018-01-15,15.43165111541748,,,,12.676517486572266,9.428661346435547,45.54526138305664,5.838128089904785,9.850250244140625,11.420541763305664,12.591543197631836,13.558755874633789,7.952238082885742,3.823892831802368,4.610742568969727,,36.22105026245117,,1.4750679731369019,,13.745518684387207,13.074931144714355,1.2328647375106812,8.671762466430664,6.796494960784912,6.483764171600342,,,8.788949966430664,0.9863098859786987,11.631843566894531,,3.494999885559082,16.986433029174805,11.273747444152832,17.639156341552734,7.4312543869018555,2.78519868850708,,26.70279312133789,,4.0503339767456055,4.280751705169678,16.074535369873047,10.273055076599121,21.354360580444336,4.1858229637146,20.832475662231445,,11.030951499938965,19.109081268310547,33.14714813232422,5.199645042419434,4.56017541885376,1.8728103637695312,1.8969531059265137,13.14072036743164,14.855123519897461,11.986798286437988,,,18.49030113220215,18.88711166381836,5.272115707397461,3.632232189178467,,16.73583984375,8.894693374633789,7.9721245765686035,9.34093189239502,13.520929336547852,8.853550910949707,22.578262329101562,,,,11.661170959472656,8.438669204711914,25.58740234375
