Date,^BVSP,Variação_Diária_%
2018-01-02,77891.0,
2018-01-03,77995.0,0.13351991886096926
2018-01-04,78647.0,0.8359510225014466
2018-01-05,79071.0,0.5391178303050248
2018-01-08,79379.0,0.3895233397832376
2018-01-09,78864.0,-0.6487862029000091
2018-01-10,78201.0,-0.8406877662811896
2018-01-11,79365.0,1.488472014424369
2018-01-12,79349.0,-0.020160020160020498
2018-01-15,79752.0,0.5078828970749516
2018-01-16,79832.0,0.10031096398837036
2018-01-17,81189.0,1.6998196212045347
2018-01-18,80963.0,-0.27836283240340043
2018-01-19,81220.0,0.3174289490260884
2018-01-22,81675.0,0.5602068456045384
2018-01-23,80678.0,-1.220691766146309
2018-01-24,83680.0,3.720964823124029
2018-01-26,85531.0,2.2119980879541146
2018-01-29,84698.0,-0.9739158901450939
2018-01-30,84482.0,-0.25502373137500367
2018-01-31,84913.0,0.5101678464051407
2018-02-01,85495.0,0.685407417003292
2018-02-02,84041.0,-1.7006842505409625
2018-02-05,81861.0,-2.593971989862087
2018-02-06,83894.0,2.483478090910207
2018-02-07,82767.0,-1.3433618613965193
2018-02-08,81533.0,-1.4909323764302207
2018-02-09,80899.0,-0.7775992542896737
2018-02-14,83543.0,3.268272784583237
2018-02-15,84291.0,0.8953473061776629
2018-02-16,84525.0,0.27760970922161565
2018-02-19,84793.0,0.31706595681750827
2018-02-20,85804.0,1.1923154033941508
2018-02-21,86052.0,0.2890308144142484
2018-02-22,86686.0,0.7367638172267821
2018-02-23,87293.0,0.700228410585324
2018-02-26,87653.0,0.4124042019405971
2018-02-27,86935.0,-0.8191391053358088
2018-02-28,85481.0,-1.6725139472019368
2018-03-01,85378.0,-0.12049461283794027
2018-03-02,85761.0,0.4485933144369847
2018-03-05,86023.0,0.30550016907451294
2018-03-06,85653.0,-0.43011752670797376
2018-03-07,85484.0,-0.19730774170197973
2018-03-08,84985.0,-0.5837349679472137
2018-03-09,86371.0,1.6308760369476927
2018-03-12,86900.0,0.6124740943140639
2018-03-13,86384.0,-0.593785960874571
2018-03-14,86051.0,-0.3854880533432081
2018-03-15,84928.0,-1.3050400343982083
2018-03-16,84886.0,-0.04945365486058728
2018-03-19,83913.0,-1.1462431967580011
2018-03-20,84164.0,0.2991193259685554
2018-03-21,84977.0,0.9659711990875008
