tracking_error,erro_medio_abs,correlacao,retorno_carteira_acum,retorno_ibov_acum,janela,modelo,periodo
0.0024902096763326246,0.001994956285887968,0.9556122431186096,-0.03123909307293604,-0.01430897363642114,1,QP_tracking,2024-02-01 a 2024-04-30
0.002062282257401194,0.0016441682434081904,0.9653337996160464,0.009322148835159583,0.01372256281566675,2,QP_tracking,2024-05-01 a 2024-07-31
0.0018786956861538337,0.0014065698095714128,0.9703786575261659,0.015583735140465294,0.016145457963840038,3,QP_tracking,2024-08-01 a 2024-10-31
0.0024932218233885343,0.002014675944410146,0.9892874898949091,-0.04550096741779752,-0.027583973849961363,4,QP_tracking,2024-11-01 a 2025-01-31
0.0027969432292211114,0.0021814251129765026,0.9825396366302315,0.08898027206301529,0.07081301779839144,5,QP_tracking,2025-02-01 a 2025-04-30
0.008128639043939408,0.006608472089850521,0.8436673260927924,-0.08664795400607594,-0.01430897363642114,1,ElasticNet,2024-02-01 a 2024-04-30
0.008797893739738967,0.00707897373078223,0.8611184464076143,-0.06391043558984888,0.01372256281566675,2,ElasticNet,2024-05-01 a 2024-07-31
0.00863348762142235,0.0067387168571628134,0.8272740030684438,0.007934804020723663,0.016145457963840038,3,ElasticNet,2024-08-01 a 2024-10-31
0.010597515405326918,0.008270615129476584,0.9351608595024695,-0.031076748044639002,-0.027583973849961363,4,ElasticNet,2024-11-01 a 2025-01-31
0.009872799868673609,0.007236968696131339,0.8958159227349319,0.1025954005934191,0.07081301779839144,5,ElasticNet,2025-02-01 a 2025-04-30
