,importancia
TE_med_60d,0.18419544213862235
TE_vol_20d,0.17477062550778616
Dias_acima_mediana,0.1692941105811286
TE_med_20d,0.13450766978652673
IBOV_ret_20d,0.13289515358544188
IBOV_vol_20d,0.1042640511855995
Corr_20d,0.10007294721489504
