K,tracking_error_medio_oos,tracking_error_max_oos
10,0.003059299389272552,0.0033911839531808666
15,0.002647719455778684,0.0033662249567732606
20,0.002679323528447848,0.003474480477492268
30,0.0023442705344994593,0.00279694322922111
54,0.0021854303286344416,0.0026004402892882885
