Date,ABEV3.SA,AXIA3.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBSE3.SA,BEEF3.SA,BPAC11.SA,BRKM5.SA,CMIG4.SA,COGN3.SA,CPFE3.SA,CPLE3.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DIRR3.SA,EGIE3.SA,ENGI11.SA,EQTL3.SA,FLRY3.SA,GGBR4.SA,HAPV3.SA,HYPE3.SA,ISAE4.SA,ITSA4.SA,KLBN11.SA,LREN3.SA,MBRF3.SA,MGLU3.SA,MRVE3.SA,MULT3.SA,PETR4.SA,POMO4.SA,PRIO3.SA,PSSA3.SA,RADL3.SA,RAIL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VBBR3.SA,WEGE3.SA,YDUQ3.SA
2018-01-03,0.00230527397945,-0.0127727982748683,0.0301951724370967,0.0170233490545927,0.0127540894730557,0.0006967897376504,-0.0073461621874719,0.0095241364103459,-0.0084356947717461,-0.0086208206200388,0.0087238861298022,-0.0123520012108723,-0.0053373444473433,0.0,0.0368663131476521,0.0045047178326713,-0.0291095261709828,-0.0067188914104576,0.0,0.0019780711325321,-0.0195703921597394,-0.0015423371775186,0.0,-0.0155771917672354,-0.0203292886368107,0.0117861324070993,-0.0126375631702184,0.0127297732579454,-0.0109587698818433,-0.0126102382417704,0.0145406294673313,0.0040143091121587,0.0090637163374573,0.0279189412093279,0.0181392736828853,0.0181315358866378,-0.0247650386198503,-0.0300229729760236,0.0136203322661956,-0.0082493729902748,-0.0179190770397491,0.0086800721021644,-0.0074511540573574,0.001398287495671,0.00075737648658,0.021227399757574,-0.0098737744703322,0.0333331959760225,-0.00599227424579,0.0,-0.0151879887544262,0.0008859030196075
2018-01-04,-0.0055198085391233,-0.0064690267106439,0.0315520417891803,0.0064375544846726,0.009595461921259,0.0020891988455331,-0.0037004352330706,0.003668701815046,0.0151758896987252,-0.0115941131333838,0.0135134585684217,-0.0072955937493613,-0.0043900322346727,-0.0023501519583952,0.031111183539431,0.0082211076153222,0.0105821856606236,-0.012965094265536,-0.0159671485003146,-0.0112675866550152,-0.0200068647338793,0.0540543199976795,0.0,0.0073466798897909,-0.0274159035694262,0.0188171757900619,0.0016697122555648,0.0055867319428988,0.0,0.0240100753213488,-0.0065146260496816,-0.0011027726682284,0.0017962868409904,0.0296295738551308,0.0345976729753267,0.0008098654947779,0.0077091275593601,0.0015872826063665,0.0143046145792429,0.0120150398116993,-0.019423107792893,-0.003944053990009,0.0026813077300331,-0.0158216784113011,-0.0045421934264299,-0.0061710885064415,0.0116781659049978,0.0564515104871912,0.0040991300362245,0.0,-0.0097401079518891,-0.0041298355625176
2018-01-05,0.0037003180825283,-0.0092241082425873,-0.0335954376636956,0.0144990494055887,0.0,0.0066017781603053,0.0111421938637821,0.0165336281826615,0.0242354197090948,0.0014662032956658,-0.0021331718279905,-0.0162729993498422,0.0146987479630591,0.0103652007755543,0.0226292119338755,0.0155670122543156,0.001744935652916,0.0051398944244154,0.01471709164478,0.0098463253937,0.0144312607224441,-0.0124542666051836,0.0,0.0092569346575612,0.0160409498111897,0.0017588722397252,-0.0094447446009855,-0.0061114697229194,0.0083102812952999,-0.0197056473377361,0.0144262111952706,0.0073144407658274,0.0059773565099898,-0.0119902721345689,0.0563270861837097,0.0194118321244769,0.0175495011279467,-0.0015847671330611,-0.0145298961130608,0.0106540849372755,0.011404526475109,0.0187183641610293,-0.0026741375443642,0.0047280597349224,0.0083653416612781,0.021568827878444,0.0020754270333616,-0.0429389602230816,0.0156099539869523,0.0,0.0040986240120783,-0.0136255769710365
2018-01-08,-0.0018434313163839,0.0065716960163644,-0.0122794257503304,0.0046239473743472,0.0023761646579929,0.0058681141555567,-0.0339759859385619,0.0122532704409621,0.0017691207409902,0.0029284375930334,-0.0443612521426944,0.0160086214541634,0.0082085824518556,-0.0086267150298493,0.0484722794820675,0.0051096549364495,-0.0052266587491773,0.0056819270005745,-0.0163629831146066,0.0131017029716298,-0.0260235961041382,0.0348668713365534,0.0,-0.0102838150035542,-0.005211308575067,-0.0008781179314415,0.0179474753077615,-0.0050305721936992,-0.0178572288650481,0.0001272897683106,-0.0200387557212801,-0.012467605253276,0.0118835722314998,-0.019417479382077,0.0757256110796569,-0.0050249275267753,-0.0127139726652447,0.0126983411058925,-0.0047706564367332,0.019357573101018,0.0204747434311085,-0.0053003317727314,0.0241290330563743,-0.0047058103823335,-0.0135744226443779,-0.00063979494121,0.0069893770988247,0.0109672156433289,0.0222273377306829,0.0,0.0081629566024357,0.0036036090127788
2018-01-09,-0.00277003584972,-0.0397170778325239,-0.0063036127531762,-0.0142259700001351,-0.0094816355607333,-0.0034317645464243,-0.0019011040752034,-0.0068420069147067,0.0022076620150333,-0.0204379151474244,0.0123042037960661,0.0031512927846399,-0.0105364613949168,-0.0275164775459074,0.0271354666646268,-0.0043573906229978,0.0070057781423527,0.0,0.0120981945581259,0.0,-0.0288563546495622,0.0057345133612054,0.0,0.0053356159102764,0.0064715648349993,-0.0158166229539444,-0.011019489858039,0.0058988562496651,-0.0125875162309267,-0.0240429418260549,0.0059366638287117,0.0029135575386392,0.0,-0.004950208144655,-0.1060812441214558,0.006911379283768,-0.0139977268089794,-0.0321316757266346,-0.0082786586116185,-0.0070815131725043,-0.0136666987035407,0.0003553559476421,0.0104710284043678,-0.018439797584663,0.0015287098280147,0.0003201529917413,-0.0038561219620351,0.0108481206096044,-0.0037009372881918,0.0,0.0161949022425567,-0.0170558084836108
2018-01-10,0.0,-0.0402265092571877,0.0008810004058978,-0.0089138387751288,-0.0041875452044785,-0.0041321434181689,0.0,-0.0068890169166818,-0.0107930397352877,0.0149029694478277,0.0193370266196613,0.0471204188481675,0.0125844819802862,-0.0193471684434447,0.002935363968066,-0.0211523802549388,0.005217446050896,-0.0036722024191141,-0.0317519521601927,-0.0076692273431426,0.0326485302519772,-0.0135426184040363,0.0,-0.0039105606666415,-0.0048991691953462,0.0,-0.0194984407456586,-0.0268084113558757,-0.0014163443020092,0.0101669103164709,0.0019671505504039,-0.0052568936345716,-0.0135057036877714,0.0024874173057336,-0.013452924753691,0.0216471476540869,-0.0305507228542654,-0.002429202836963,-0.0021968312206078,-0.0018605354419808,-0.0200470886932268,0.0245027784498677,0.0056996113723652,-0.0134874820501227,-0.0236638033181598,-0.0025599985721446,-0.0077418865544399,0.0,-0.0139309217608091,0.0,-0.0079684036038842,0.000913484747989
2018-01-11,0.0115742090485808,0.015348306559235,0.012324012202816,0.0162745004001967,0.0228293352693702,0.0058779763432408,0.0,-0.0021345084192215,0.0289468183108161,0.0205582891856366,-0.0363145217954655,0.0324998468278037,-0.0023900376062744,0.0101111413930898,0.0585367713735629,0.0394931409130114,0.0017298408262187,-0.0099237380786143,0.0100310909339162,0.0059098901704295,-0.0202488992976545,0.08164771598242,0.0,0.0042062264026958,-0.0143076716472163,0.0160708088785412,-0.0056819246773754,0.004304014665009,0.0014183531784517,0.0018066049110161,0.0157068352843268,0.012515803013448,0.026785543624832,0.0099254305370879,0.0975609417092655,0.0204135570693897,0.0139406719635599,0.021103974984963,0.0215763668999626,0.0149116206823147,0.0132368517687153,0.0013868026782917,-0.0036062309085255,-0.0073241606499845,0.0039090770863488,-0.0012832844925408,0.0039012522522279,0.0536583309434703,0.0195432070103445,0.0,0.0192766836417062,0.030717712141685
2018-01-12,-0.0114417795007514,-0.0226745199862852,-0.0156521015438583,-0.0050568525062407,0.0023494515069404,0.0020629081042677,-0.0190476044825449,0.0026736211393196,0.0090889544026397,-0.0100718409024145,-0.0433069307257935,-0.0227602790983266,-0.0081455578729836,0.0180662845611876,-0.0313363558970498,0.0071684997023198,-0.0310883554610754,0.0051546139764933,0.0030555163188799,0.0079843989741896,-0.0061634835418703,0.0,0.0,0.0192682787553122,0.0159202620860974,0.0026365560457244,-0.0137142514124474,0.0085716933099018,-0.0254954114771015,-0.0010304441107118,-0.0019330148461254,-0.0045324716636134,0.0028986379104734,-0.0147420490643067,-0.0313131508660565,0.0298808305471798,-0.0005776788838027,0.003974595896792,-0.0181035719498913,-0.0048977778945794,0.0059384546253344,-0.0031154888942649,-0.0036193976122714,0.0,0.0031148142122139,-0.0016063194862465,0.002201969721534,0.0203705893073029,0.0057738743824216,0.0,0.0074869097705994,-0.0262614543255844
2018-01-15,0.0101850317709064,0.0130875351813821,0.0342754304277206,0.0029649598336987,0.0049806631874318,-0.0013722067171542,0.0,0.0133332179226621,0.0233755363486227,-0.0043607310675716,-0.0041153113558479,0.0406343576516619,-0.0024155351261075,-0.0004796992887831,0.025689845990819,0.0241995810018769,0.0267381995153446,0.0054131477798906,-0.0022848524866969,0.0162904710600819,0.0164173194119594,-0.0100201941150575,0.0,-0.0046576487405394,0.0062989004734868,0.0122697318125173,-0.0005792181751482,0.0254957987118829,-0.0058142767914225,0.0172770673496314,0.0032280466934899,0.0140732076443395,0.0028902600929967,0.0124690722154425,-0.0093847878821796,0.024342383062238,0.0016182943459237,0.006334129599816,0.0316067708058984,-0.0018451521688577,0.0005900501615037,0.0104163571574102,0.0103786513292023,0.0108216053214769,0.0240683133749712,-0.0012868987972017,0.0028434259664864,0.0254081642345915,-0.0018369554283024,0.0,0.006647895655933,-0.0087879471897107
2018-01-16,0.0036662783779679,0.0111566914118348,0.0112743360919549,0.0067564333624481,0.0087465687960268,0.0178630586522725,-0.0019420098947943,-0.0078944698869332,0.0324811737721153,0.0029195636219754,-0.0106255916009335,-0.012380982459667,0.0024213840643687,-0.0220729083750339,-0.0278295787905354,-0.0076443036054497,0.0902778625503957,0.0045338673718966,0.0110688751342806,-0.0111764437674414,-0.0057430808267908,-0.0242913618493282,0.0,0.000826002714009,0.0227479660745975,0.0129872979743437,0.0017389400876097,0.0033148934402837,-0.0190058288004737,-0.0025349249149692,-0.0025741798222168,-0.0299321406391392,0.0172906422948118,-0.0073892418921837,-0.0531578485641366,0.0292845425270431,-0.0162740231804808,0.0070809540467953,0.0191488907385548,-0.0018493709432346,0.0050148203379969,0.0034368283008918,-0.0015406181619256,-0.0058393255880229,-0.0348745424076681,0.0154638075354602,0.0020621084261631,-0.0300883674592058,-0.0269153687024773,0.0,0.0120437321850066,-0.0064199717811956
